target,
Date,cpu,memory,cpu-org.wikipedia,memory-org.wikipedia,
2017.03.04 13:18:12 GMT,73.0,0.0,,,
2017.03.04 13:18:13 GMT,73.0,0.0,,,
2017.03.04 13:18:14 GMT,73.0,0.0,,,
2017.03.04 13:18:15 GMT,73.0,0.0,,,
2017.03.04 13:18:16 GMT,73.0,0.0,,,
2017.03.04 13:18:17 GMT,73.0,0.0,,,
2017.03.04 13:18:19 GMT,73.0,0.0,,,
2017.03.04 13:18:20 GMT,73.0,0.0,,,
2017.03.04 13:18:21 GMT,73.0,0.0,,,
2017.03.04 13:18:22 GMT,73.0,0.0,,,
2017.03.04 13:18:23 GMT,73.0,0.0,,,
2017.03.04 13:18:24 GMT,73.0,0.0,,,
2017.03.04 13:18:25 GMT,73.0,0.0,,,
2017.03.04 13:18:26 GMT,73.0,0.0,,,
2017.03.04 13:18:27 GMT,73.0,0.0,,,
2017.03.04 13:18:29 GMT,73.0,0.0,,,
2017.03.04 13:18:30 GMT,73.0,0.0,,,
2017.03.04 13:18:31 GMT,73.0,0.0,,,
2017.03.04 13:18:32 GMT,73.0,0.0,,,
2017.03.04 13:18:33 GMT,73.0,0.0,,,
